Date,Open,High,Low,Close,Volume,Change
2016-04-14,37000,37050,36000,36900,87641,0.008196721311475308
2016-04-15,36500,36950,35700,35900,102591,-0.027100271002710064
2016-04-18,35400,35550,34550,35400,81677,-0.013927576601671321
2016-04-19,35050,35650,34900,35250,90527,-0.004237288135593209
2016-04-20,35200,35300,34250,34750,134471,-0.014184397163120588
2016-04-21,34400,35200,33500,33850,232843,-0.025899280575539585
2016-04-22,33950,34550,33750,34550,113193,0.02067946824224509
2016-04-25,34050,34950,34050,34850,75265,0.00868306801736618
2016-04-26,35000,35000,34450,34800,36512,-0.0014347202295552641
2016-04-27,34350,34750,34150,34300,55216,-0.014367816091954033
2016-04-28,34300,34750,34200,34600,61393,0.008746355685131268
2016-04-29,34250,34450,33800,34000,53629,-0.017341040462427793
2016-05-02,33850,33900,32350,32500,98107,-0.044117647058823484
2016-05-03,32850,32950,31600,32200,92102,-0.009230769230769265
2016-05-04,32100,32550,31250,31650,70027,-0.017080745341614856
2016-05-09,31500,31700,30550,30700,77149,-0.03001579778830965
2016-05-10,30550,32200,30550,32200,123384,0.04885993485342022
2016-05-11,32200,32250,31600,31950,64147,-0.00776397515527949
2016-05-12,31900,32150,31400,32000,34534,0.0015649452269170805
2016-05-13,32000,34150,31750,34000,179163,0.0625
2016-05-16,34200,35300,34200,34550,133315,0.016176470588235237
2016-05-17,35100,35100,33600,34850,94822,0.00868306801736618
2016-05-18,34700,34750,33700,34450,77272,-0.011477761836441891
2016-05-19,34450,34450,32800,32850,79382,-0.046444121915820036
2016-05-20,32150,33400,32150,33200,56298,0.010654490106544845
2016-05-23,33000,33350,32350,32500,30797,-0.02108433734939763
2016-05-24,32750,32850,31900,32000,40909,-0.01538461538461533
2016-05-25,32300,32750,32100,32350,34998,0.010937500000000044
2016-05-26,31850,32350,31800,32100,42405,-0.007727975270479082
2016-05-27,32100,32900,31850,32900,52687,0.024922118380062308
2016-05-30,32700,33100,32150,32300,41898,-0.018237082066869248
2016-05-31,32300,32650,32150,32600,92948,0.009287925696594534
2016-06-01,32450,32500,32000,32100,51860,-0.015337423312883458
2016-06-02,32000,32150,31550,31650,46066,-0.014018691588784993
2016-06-03,31650,31650,31250,31350,31878,-0.009478672985781977
2016-06-07,31600,31750,31300,31500,53112,0.004784688995215225
2016-06-08,31700,31700,31100,31200,51589,-0.00952380952380949
2016-06-09,31100,32000,31100,32000,65700,0.02564102564102555
2016-06-10,31900,32400,31600,32200,62483,0.006250000000000089
2016-06-13,32200,32200,31500,31550,38095,-0.02018633540372672
2016-06-14,31550,31550,30900,31400,49406,-0.004754358161648153
2016-06-15,31250,31300,30700,30850,52647,-0.017515923566879033
2016-06-16,30900,31450,30900,31400,63376,0.017828200972447306
2016-06-17,31400,33300,31400,33150,161983,0.05573248407643305
2016-06-20,33200,33800,32350,33450,133816,0.009049773755656076
2016-06-21,33600,33950,33100,33350,54000,-0.002989536621823663
2016-06-22,33400,34000,33000,33650,96769,0.008995502248875464
2016-06-23,33750,33900,32500,33400,57929,-0.007429420505200568
2016-06-24,33400,33400,31150,32550,105209,-0.025449101796407136
2016-06-27,31300,32000,31300,31850,90934,-0.021505376344086002
2016-06-28,31500,31750,31400,31400,59660,-0.014128728414442682
2016-06-29,31700,31850,31250,31500,124280,0.0031847133757962887
2016-06-30,31700,32000,31600,31600,42103,0.0031746031746031633
2016-07-01,31650,31750,31450,31550,43571,-0.0015822784810126667
2016-07-04,31500,31600,31150,31500,73550,-0.0015847860538826808
2016-07-05,31700,31700,31250,31350,59853,-0.004761904761904745
2016-07-06,31250,31450,30550,30750,95579,-0.019138755980861233
2016-07-07,31000,31050,30750,31050,44452,0.009756097560975618
2016-07-08,31200,31300,30500,30800,44774,-0.008051529790660261
2016-07-11,30800,30800,30300,30400,67635,-0.012987012987012991
2016-07-12,30550,30700,29650,29700,195059,-0.023026315789473673
2016-07-13,30000,30450,29800,30300,65489,0.02020202020202011
2016-07-14,30300,30300,29900,30000,44314,-0.00990099009900991
2016-07-15,30200,30500,30100,30400,67241,0.01333333333333342
2016-07-18,30600,30600,30000,30350,58062,-0.00164473684210531
2016-07-19,30600,30600,30000,30100,49960,-0.008237232289950547
2016-07-20,30250,30350,29900,30150,44767,0.0016611295681063787
2016-07-21,30350,30450,30000,30000,57662,-0.00497512437810943
